msv,ho_ten,gioi_tinh,lop,sdt,diem_cc,diem_gk,diem_ck,diem_rl
24DH,gfdg,Nam,2b,243424,5.0,5.0,5.0,50.0
24DH260137,Nguyee Van Tien,Nam,cnttk2b,0962092708,10.0,9.0,8.0,80.0
24DH052355,Nguyễn Văn A,Nam,cnttk2b,0941256847,5.0,8.0,4.0,60.0
24DH345345,Nguyễn Hoàng Hiệp,Nam,cntt2b,0932144564,5.0,6.0,8.0,65.0
24DH230984,Hoàng Văn Đức,Nam,cntt2b,0934856234,3.0,4.0,3.0,50.0
24DH260101,Nguyễn Văn An,Nam,CNTTK2A,987654321,0.0,0.0,0.0,0.0
24DH260102,Trần Thị Mai,Nữ,CNTTK2A,978123456,0.0,0.0,0.0,0.0
24DH260103,Lê Quốc Bảo,Nam,CNTTK2B,965234781,0.0,0.0,0.0,0.0
24DH260104,Phạm Ngọc Hân,Nữ,CNTTK2B,934567812,0.0,0.0,0.0,0.0
24DH260105,Hoàng Minh Đức,Nam,KHMTK8A,912345678,0.0,0.0,0.0,0.0
24DH260106,Vũ Thị Lan,Nữ,KHMTK8A,945678123,0.0,0.0,0.0,0.0
24DH260107,Đỗ Thành Công,Nam,CNTTK3E,398765432,0.0,0.0,0.0,0.0
24DH260108,Bùi Thanh Tâm,Nữ,CNTTK3E,376543219,0.0,0.0,0.0,0.0
24DH260109,Nguyễn Gia Huy,Nam,TKĐHK1B,356789123,0.0,0.0,0.0,0.0
24DH260110,Trịnh Mỹ Linh,Nữ,TKĐHK1B,321456789,0.0,0.0,0.0,0.0
